data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
-0.07537823170423508,0.4537958800792694,-0.34105509519577026,0.2532428503036499,20,,1721,0.7586206793785095,0.48678529262542725,,,,,,,,,
,,,,,0.0003998420246477159,1722,,,,,,,,,,,
,,,,21,,1803,,,0.7124999761581421,0.7138888835906982,0.7138888835906982,0.4277777671813965,0.7487804889678955,0.5763569474220276,0.667391300201416,0.8527777791023254,0.7915046215057373
-0.07347379624843597,0.45297664403915405,-0.34213531017303467,0.2503712475299835,21,,1803,0.7561302781105042,0.48886170983314514,,,,,,,,,
,,,,,0.000399375931546361,1804,,,,,,,,,,,
,,,,22,,1885,,,0.7152777910232544,0.7152777910232544,0.7152777910232544,0.4305555522441864,0.7195622324943542,0.5557321310043335,0.7088949084281921,0.730555534362793,0.7909027934074402
-0.0714639350771904,0.44932761788368225,-0.34291917085647583,0.246695876121521,22,,1885,0.7704980969429016,0.4767237603664398,,,,,,,,,
,,,,,0.0003986024164431595,1886,,,,,,,,,,,
,,,,23,,1967,,,0.7166666388511658,0.7166666388511658,0.7166666388511658,0.4333333373069763,0.7329843044281006,0.5581782460212708,0.6930692791938782,0.7777777910232544,0.7925154566764832
-0.07013828307390213,0.4476132094860077,-0.34347406029701233,0.24456529319286346,23,,1967,0.7578544020652771,0.48566922545433044,,,,,,,,,
,,,,,0.0003975226720423349,1968,,,,,,,,,,,
,,,,24,,2049,,,0.7083333134651184,0.706944465637207,0.706944465637207,0.4138889014720917,0.7514722943305969,0.5993831157684326,0.6523517370223999,0.8861111402511597,0.7898610830307007
-0.06868816912174225,0.4447551965713501,-0.34393033385276794,0.2419329732656479,24,,2049,0.771264374256134,0.47124794125556946,,,,,,,,,
,,,,,0.0003961383632314919,2050,,,,,,,,,,,
,,,,25,,2131,,,0.7208333611488342,0.7208333611488342,0.7208333611488342,0.4416666626930237,0.7432950139045715,0.5616412162780762,0.6879432797431946,0.8083333373069763,0.7942283749580383
-0.0669269934296608,0.4456690847873688,-0.34387198090553284,0.24056223034858704,25,,2131,0.7752873301506042,0.46211129426956177,,,,,,,,,
,,,,,0.0003944516245144802,2132,,,,,,,,,,,
,,,,26,,2213,,,0.6888889074325562,0.6888889074325562,0.6888889074325562,0.3777777850627899,0.7442922592163086,0.6275591850280762,0.6317829489707947,0.9055555462837219,0.7848919630050659
-0.06647486239671707,0.44119709730148315,-0.34533196687698364,0.23831988871097565,26,,2213,0.7747126221656799,0.4699154794216156,,,,,,,,,
,,,,,0.00039246505672014403,2214,,,,,,,,,,,
,,,,27,,2295,,,0.7166666388511658,0.7166666388511658,0.7166666388511658,0.4333333373069763,0.7228260636329651,0.5591201186180115,0.707446813583374,0.7388888597488403,0.7910107970237732
-0.06621799618005753,0.438365638256073,-0.34546589851379395,0.23675484955310822,27,,2295,0.7758620977401733,0.4598429501056671,,,,,,,,,
,,,,,0.00039018172299203297,2296,,,,,,,,,,,
,,,,28,,2377,,,0.6805555820465088,0.6805555820465088,0.6805555820465088,0.3611111044883728,0.7461368441581726,0.6586636900901794,0.6190476417541504,0.9388889074325562,0.7883873581886292
-0.06596983969211578,0.4374111294746399,-0.34602585434913635,0.2359532117843628,28,,2377,0.7737547755241394,0.4596858024597168,,,,,,,,,
,,,,,0.0003876051440652565,2378,,,,,,,,,,,
,,,,29,,2459,,,0.7111111283302307,0.7111111283302307,0.7111111283302307,0.42222222685813904,0.7142857313156128,0.558853805065155,0.70652174949646,0.7222222089767456,0.7901157140731812
