data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,,0.00038158858824443177,2542,,,,,,,,,,,
,,,,31,,2623,,,0.6722221970558167,0.6736111044883728,0.6736111044883728,0.3472222089767456,0.7102342844009399,0.6127076745033264,0.6385809183120728,0.800000011920929,0.7337191104888916
0.02485557273030281,0.35929960012435913,-0.21149154007434845,0.19074594974517822,31,,2623,0.6969348788261414,0.5736434459686279,,,,,,,,,
,,,,,0.0003781578884433705,2624,,,,,,,,,,,
,,,,32,,2705,,,0.6486111283302307,0.6499999761581421,0.6499999761581421,0.30000001192092896,0.7083333134651184,0.6311026811599731,0.6071428656578064,0.8500000238418579,0.7340278029441833
0.025463515892624855,0.359729140996933,-0.2125985026359558,0.19137266278266907,32,,2705,0.6959770321846008,0.5732110142707825,,,,,,,,,
,,,,,0.000374452483325013,2706,,,,,,,,,,,
,,,,33,,2787,,,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.7115384340286255,0.6210541725158691,0.6271186470985413,0.8222222328186035,0.7291666865348816
0.02519303187727928,0.3553445339202881,-0.21095339953899384,0.1906435191631317,33,,2787,0.7063218355178833,0.5650417804718018,,,,,,,,,
,,,,,0.00037047808635547847,2788,,,,,,,,,,,
,,,,34,,2869,,,0.6347222328186035,0.6361111402511597,0.6361111402511597,0.27222222089767456,0.7095343470573425,0.6574838757514954,0.5904058814048767,0.8888888955116272,0.7292361259460449
0.02410809136927128,0.34954893589019775,-0.2121245265007019,0.1889089047908783,34,,2869,0.6988505721092224,0.5660963654518127,,,,,,,,,
,,,,,0.0003662408257668241,2870,,,,,,,,,,,
,,,,35,,2951,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7125141024589539,0.6473856568336487,0.599620521068573,0.8777777552604675,0.734074056148529
0.023469572886824608,0.3439866602420807,-0.21106667816638947,0.18746566772460938,35,,2951,0.6998084187507629,0.5652109384536743,,,,,,,,,
,,,,,0.00036174723510775465,2952,,,,,,,,,,,
,,,,36,,3033,,,0.6722221970558167,0.6722221970558167,0.6722221970558167,0.3444444537162781,0.7163461446762085,0.6221010088920593,0.6313559412956238,0.8277778029441833,0.731751561164856
0.023078691214323044,0.3407684862613678,-0.21074368059635162,0.18646161258220673,36,,3033,0.7028735876083374,0.5637749433517456,,,,,,,,,
,,,,,0.00035700424316936454,3034,,,,,,,,,,,
,,,,37,,3115,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7112118005752563,0.6485711932182312,0.600382387638092,0.8722222447395325,0.732862651348114
0.02328794077038765,0.3395707905292511,-0.21181079745292664,0.18681658804416656,37,,3115,0.7061302661895752,0.5628819465637207,,,,,,,,,
,,,,,0.00035201916330144384,3116,,,,,,,,,,,
,,,,38,,3197,,,0.6305555701255798,0.6319444179534912,0.6319444179534912,0.2638888955116272,0.7045707702636719,0.6537471413612366,0.5884543657302856,0.8777777552604675,0.7327700853347778
0.02318967692553997,0.3372724950313568,-0.21115835011005402,0.18625207245349884,38,,3197,0.701724112033844,0.564965546131134,,,,,,,,,
,,,,,0.00034679968213582304,3198,,,,,,,,,,,
,,,,39,,3279,,,0.6527777910232544,0.6527777910232544,0.6527777910232544,0.3055555522441864,0.7079439163208008,0.6315574645996094,0.6108871102333069,0.8416666388511658,0.7347068190574646
0.023118620738387108,0.33716773986816406,-0.2135843187570572,0.18742498755455017,39,,3279,0.701724112033844,0.5683416724205017,,,,,,,,,
,,,,,0.0003413538477341441,3280,,,,,,,,,,,
,,,,40,,3361,,,0.6402778029441833,0.6402778029441833,0.6402778029441833,0.2805555462837219,0.704675018787384,0.6475628614425659,0.5976788997650146,0.8583333492279053,0.7283024787902832
0.02336787059903145,0.33506345748901367,-0.2125454545021057,0.18711920082569122,40,,3361,0.6998084187507629,0.5649678111076355,,,,,,,,,
,,,,,0.00033569005717833236,3362,,,,,,,,,,,
,,,,41,,3443,,,0.637499988079071,0.637499988079071,0.637499988079071,0.2750000059604645,0.7057496905326843,0.6530439257621765,0.5939279198646545,0.8694444298744202,0.7293518781661987
0.023443883284926414,0.3347586989402771,-0.21316610276699066,0.1876564919948578,41,,3443,0.6984674334526062,0.564016580581665,,,,,,,,,
,,,,,0.0003298170436229052,3444,,,,,,,,,,,
,,,,42,,3525,,,0.6555555462837219,0.6555555462837219,0.6555555462837219,0.31111112236976624,0.7068557739257812,0.6311721205711365,0.6152263283729553,0.8305555582046509,0.7322916388511658
0.02422304078936577,0.33508628606796265,-0.2124052494764328,0.18809154629707336,42,,3525,0.6967433094978333,0.5630035400390625,,,,,,,,,
,,,,,0.0003237438628290805,3526,,,,,,,,,,,
,,,,43,,3607,,,0.6527777910232544,0.6527777910232544,0.6527777910232544,0.3055555522441864,0.7058823704719543,0.6348507404327393,0.6122449040412903,0.8333333134651184,0.7282561659812927
0.023780617862939835,0.33308789134025574,-0.2123616486787796,0.18764498829841614,43,,3607,0.7005746960639954,0.5629459023475647,,,,,,,,,
,,,,,0.00031747987920144956,3608,,,,,,,,,,,
,,,,44,,3689,,,0.644444465637207,0.644444465637207,0.644444465637207,0.2888889014720917,0.7084282636642456,0.6439400911331177,0.6003860831260681,0.8638888597488403,0.7303549647331238
0.023518646135926247,0.33040812611579895,-0.21275003254413605,0.18683455884456635,44,,3689,0.7047892808914185,0.5605626702308655,,,,,,,,,
,,,,,0.00031103475134874344,3690,,,,,,,,,,,
